amplxe: Using result path `/scratch2/scratchdirs/marchdf/pelec-filter-scaling/vtune/0pts.nid00121'
amplxe: Executing actions  0 %                                                 amplxe: Executing actions  0 % Finalizing results                              amplxe: Executing actions 50 % Finalizing results                              amplxe: Executing actions 50 % Generating a report                             amplxe: Executing actions 50 % Setting data model parameters                   amplxe: Executing actions 75 % Setting data model parameters                   amplxe: Executing actions 75 % Generating a report                             amplxe: Executing actions 100 % Generating a report                            amplxe: Executing actions 100 % done                                           
Function	CPU Time	Memory Bound(%)	Memory Bound:L1 Bound(%)	Memory Bound:L2 Bound(%)	Memory Bound:L3 Bound(%)	Memory Bound:DRAM Bound(%)	Memory Bound:DRAM Bound:Memory Bandwidth(%)	Memory Bound:DRAM Bound:Memory Latency(%)	Memory Bound:DRAM Bound:Memory Latency:Remote / Local memory Ratio	Loads	Stores	LLC Miss Count	LLC Miss Count:Local DRAM Access Count	LLC Miss Count:Remote DRAM Access Count	LLC Miss Count:Remote Cache Access Count	Average Latency (cycles)	Module	Function (Full)	Source File	Start Address
transy2	3.876001	51.0	5.1	0.0	5.6	7.5	7.1	17.2	0.0	1000030000	176805304	1600048	2400072	0	0	0.996000	PeleC3d.intel.ivybridge.PROF.MPI.OMP.ex	transy2	trans_3d.F90	0x992990
func@0x5ec560	3.794001	10.5	1.1	0.2	0.0	0.0	16.4	16.5	0.0	1167235016	1000030000	0	0	0	0	1.000000	libtpsstool.so	func@0x5ec560	[Unknown]	0x5ec560
tracez_ppm	3.717001	76.8	9.8	0.0	1.5	35.4	18.1	13.3	0.0	488014640	142404272	14400432	16000480	0	0	1.000000	PeleC3d.intel.ivybridge.PROF.MPI.OMP.ex	tracez_ppm	trace_ppm_3d.f90	0x70b200
func@0x5ed260	3.518001	30.9	2.3	0.0	0.3	0.8	8.6	18.9	0.0	2896086880	856825704	800024	800024	0	0	1.000000	libtpsstool.so	func@0x5ed260	[Unknown]	0x5ed260
pc_move_transport_coeffs_to_ec	3.495001	54.0	0.0	2.0	0.8	22.1	16.7	20.7	0.0	521615648	93602808	3200096	800024	0	0	1.000000	PeleC3d.intel.ivybridge.PROF.MPI.OMP.ex	pc_move_transport_coeffs_to_ec	Diffusion_nd.f90	0x6fa1b0
pc_compute_tangential_vel_derivs	3.408001	45.4	3.2	0.0	4.0	11.2	22.5	15.9	0.0	1644849344	385611568	1600048	0	0	0	1.000000	PeleC3d.intel.ivybridge.PROF.MPI.OMP.ex	pc_compute_tangential_vel_derivs	grad_utils_3d.F90	0x9abd30
func@0x5ec670	3.370001	9.8	4.5	0.0	0.7	0.0	8.5	16.9	0.0	2395271856	120003600	0	0	0	0	1.000000	libtpsstool.so	func@0x5ec670	[Unknown]	0x5ec670
actual_eos_wb	3.192001	31.9	4.8	1.5	0.0	2.0	14.9	20.5	0.0	1177635328	121603648	0	0	0	0	1.000000	PeleC3d.intel.ivybridge.PROF.MPI.OMP.ex	actual_eos_wb	gamma_law.F90	0x918ba0
fort_fab_copy	3.055001	59.3	20.6	0.0	2.8	27.0	13.4	16.2	0.0	304809144	108003240	5600168	9600288	0	0	1.000000	PeleC3d.intel.ivybridge.PROF.MPI.OMP.ex	fort_fab_copy	AMReX_BaseFab_nd.f90	0x6b52f0
actual_eos_top	2.796001	40.8	5.9	1.6	1.8	0.0	17.2	19.0	0.0	425612768	3200096	0	0	0	0	1.000000	PeleC3d.intel.ivybridge.PROF.MPI.OMP.ex	actual_eos_top	gamma_law.F90	0x918ba0
