amplxe: Using result path `/scratch2/scratchdirs/marchdf/pelec-filter-scaling/vtune/5pts.nid00121'
amplxe: Executing actions  0 %                                                 amplxe: Executing actions  0 % Finalizing results                              amplxe: Executing actions 50 % Finalizing results                              amplxe: Executing actions 50 % Generating a report                             amplxe: Executing actions 50 % Setting data model parameters                   amplxe: Executing actions 75 % Setting data model parameters                   amplxe: Executing actions 75 % Generating a report                             amplxe: Executing actions 100 % Generating a report                            amplxe: Executing actions 100 % done                                           
Function	CPU Time	Memory Bound(%)	Memory Bound:L1 Bound(%)	Memory Bound:L2 Bound(%)	Memory Bound:L3 Bound(%)	Memory Bound:DRAM Bound(%)	Memory Bound:DRAM Bound:Memory Bandwidth(%)	Memory Bound:DRAM Bound:Memory Latency(%)	Memory Bound:DRAM Bound:Memory Latency:Remote / Local memory Ratio	Loads	Stores	LLC Miss Count	LLC Miss Count:Local DRAM Access Count	LLC Miss Count:Remote DRAM Access Count	LLC Miss Count:Remote Cache Access Count	Average Latency (cycles)	Module	Function (Full)	Source File	Start Address
_INTERNAL_25_______src_kmp_barrier_cpp_ce635104::__kmp_wait_template<kmp_flag_64>	6.282002	9.8	3.6	0.0	0.0	0.0	4.0	25.0	0.0	2569677088	256007680	0	0	0	0	0.997854	libiomp5.so	void _INTERNAL_25_______src_kmp_barrier_cpp_ce635104::__kmp_wait_template<kmp_flag_64>(kmp_info*, kmp_flag_64*, int, void*)	kmp_wait_release.h	0x55e5d
actual_eos_top	6.187002	45.6	8.4	0.0	0.0	0.4	3.6	24.0	0.0	352010560	800024	0	0	0	0	1.000000	PeleC3d.intel.ivybridge.PROF.MPI.OMP.ex	actual_eos_top	gamma_law.F90	0x917e20
entry_SYSCALL_64_after_swapgs	4.608001	59.2	23.5	0.0	1.6	0.0	9.0	17.0	0.0	174405232	410412312	0	0	0	0	1.000000	vmlinux	entry_SYSCALL_64_after_swapgs	[Unknown]	0xffffffff81505b26
transx2	4.245001	48.6	5.5	0.0	15.5	0.0	10.4	24.3	0.0	1239237176	141604248	0	2400072	0	0	1.000000	PeleC3d.intel.ivybridge.PROF.MPI.OMP.ex	transx2	trans_3d.F90	0x98b970
transxz	4.042001	54.3	13.0	0.0	9.8	12.9	5.6	28.8	0.0	1487244616	104803144	2400072	6400192	0	0	1.000000	PeleC3d.intel.ivybridge.PROF.MPI.OMP.ex	transxz	trans_3d.F90	0x9a2a10
func@0x5ec670	4.015001	8.2	4.1	0.0	0.6	0.0	5.5	18.8	0.0	5001750048	596817904	0	0	0	0	0.996960	libtpsstool.so	func@0x5ec670	[Unknown]	0x5ec670
transyz	3.964001	58.0	9.9	0.0	4.6	17.6	7.4	29.5	0.0	1442443272	128003840	7200216	5600168	0	0	1.000000	PeleC3d.intel.ivybridge.PROF.MPI.OMP.ex	transyz	trans_3d.F90	0x9a7850
func@0x5ec560	3.823001	0.0	0.7	0.0	0.0	0.1	13.0	14.5	0.0	1640849224	1127233816	0	0	0	0	1.000000	libtpsstool.so	func@0x5ec560	[Unknown]	0x5ec560
transy2	3.791001	55.5	10.4	0.0	3.8	9.7	7.6	26.9	0.0	1062431872	165604968	3200096	1600048	0	0	1.000000	PeleC3d.intel.ivybridge.PROF.MPI.OMP.ex	transy2	trans_3d.F90	0x992990
tracez_ppm	3.772001	75.7	10.6	0.0	2.3	36.4	16.3	18.7	0.0	523215696	129603888	13600408	12000360	0	0	1.000000	PeleC3d.intel.ivybridge.PROF.MPI.OMP.ex	tracez_ppm	trace_ppm_3d.f90	0x70b200
func@0x5ed260	3.641001	28.2	1.9	0.0	2.1	0.0	6.3	20.1	0.0	3984919544	1039231176	0	800024	0	0	1.000000	libtpsstool.so	func@0x5ed260	[Unknown]	0x5ed260
pc_move_transport_coeffs_to_ec	3.584001	100.0	4.5	2.7	16.2	0.0	11.4	11.4	0.0	515215456	40801224	0	800024	0	0	1.000000	PeleC3d.intel.ivybridge.PROF.MPI.OMP.ex	pc_move_transport_coeffs_to_ec	Diffusion_nd.f90	0x6fa1b0
pc_compute_tangential_vel_derivs	3.455001	59.4	9.7	0.0	15.7	0.0	18.5	13.7	0.0	2448073440	251207536	0	800024	0	0	1.000000	PeleC3d.intel.ivybridge.PROF.MPI.OMP.ex	pc_compute_tangential_vel_derivs	grad_utils_3d.F90	0x9abd30
fort_fab_copy	3.193001	43.9	4.4	0.0	0.0	9.1	10.4	7.1	0.0	332009960	132803984	4000120	13600408	0	0	1.000000	PeleC3d.intel.ivybridge.PROF.MPI.OMP.ex	fort_fab_copy	AMReX_BaseFab_nd.f90	0x6b52f0
actual_eos_wb	3.117001	45.6	8.5	2.1	0.0	1.1	10.7	21.8	0.0	1875256256	112003360	0	0	0	0	1.000000	PeleC3d.intel.ivybridge.PROF.MPI.OMP.ex	actual_eos_wb	gamma_law.F90	0x918ba0
clear_page_c_e	2.914001	38.1	0.6	0.0	0.0	0.0	0.4	6.2	0.0	9600288	235207056	0	0	0	0	0.666667	vmlinux	clear_page_c_e	[Unknown]	0xffffffff812ae740
actual_eos_top	2.807001	45.9	7.8	0.2	2.4	0.0	13.1	26.7	0.0	664819944	1600048	0	0	0	0	1.000000	PeleC3d.intel.ivybridge.PROF.MPI.OMP.ex	actual_eos_top	gamma_law.F90	0x918ba0
actual_eos_bottom	2.557001	73.4	36.3	0.0	0.0	1.4	5.1	22.2	0.0	492014760	800024	0	0	0	0	1.000000	PeleC3d.intel.ivybridge.PROF.MPI.OMP.ex	actual_eos_bottom	gamma_law.F90	0x91800d
for_realloc_lhs	2.555001	43.8	9.8	0.0	4.0	0.0	6.2	27.3	0.0	2517675528	300009000	0	1600048	0	0	1.000000	libifcore.so.5	for_realloc_lhs	[Unknown]	0x6eef0
get_sfs_stresses_zdir	2.540001	97.6	31.4	0.0	7.7	31.4	20.3	27.2	0.0	997629928	10400312	24800744	4000120	0	0	1.000000	PeleC3d.intel.ivybridge.PROF.MPI.OMP.ex	get_sfs_stresses_zdir	lesterm_3d.f90	0x7309f5
amrex::BaseFab<double>::mult(double, amrex::Box const&, int, int)::{lambda(double&)#1}::operator()	2.514001	98.7	19.7	0.0	0.0	47.9	16.1	2.5	0.0	236807104	155204656	1600048	800024	0	0	1.000000	PeleC3d.intel.ivybridge.PROF.MPI.OMP.ex	amrex::BaseFab<double>::mult(double, amrex::Box const&, int, int)::{lambda(double&)#1}::operator()(double&) const	AMReX_BaseFab.H	0x67ce56
actual_eos_top	2.487001	37.5	9.3	0.0	0.0	5.0	11.4	27.9	0.0	671220136	16800504	0	0	0	0	1.000000	PeleC3d.intel.ivybridge.PROF.MPI.OMP.ex	actual_eos_top	gamma_law.F90	0x9187a0
tpss_free_mod1_ver0	2.412001	24.3	5.5	0.0	3.0	0.0	10.5	18.6	0.0	1936058080	1152834584	0	0	0	0	1.000000	libtpsstool.so	tpss_free_mod1_ver0	[Unknown]	0x32fc30
consup	2.345001	41.2	9.5	0.0	3.5	9.4	27.5	15.6	0.0	1154434632	114403432	4000120	3200096	0	0	1.000000	PeleC3d.intel.ivybridge.PROF.MPI.OMP.ex	consup	PeleC_advection_3d.F90	0x9c89c0
umeth3d	2.141001	47.8	6.8	0.0	1.6	3.7	9.4	26.7	0.0	384811544	104003120	800024	0	0	0	1.000000	PeleC3d.intel.ivybridge.PROF.MPI.OMP.ex	umeth3d	PeleC_advection_3d.F90	0x9b3e50
pc_diffextrap	1.955001	87.3	3.8	0.0	2.2	7.8	37.1	29.5	0.0	80802424	53601608	4000120	4000120	0	0	1.000000	PeleC3d.intel.ivybridge.PROF.MPI.OMP.ex	pc_diffextrap	Diffusion_nd.f90	0x6fe320
actual_eos_wb	1.900001	33.4	5.3	0.0	0.0	0.9	4.4	16.2	0.0	1590447712	290408712	0	0	0	0	1.000000	PeleC3d.intel.ivybridge.PROF.MPI.OMP.ex	actual_eos_wb	gamma_law.F90	0x917e20
memmove	1.851000	28.1	6.7	0.0	2.7	3.1	11.3	17.4	0.0	1214436432	652819584	800024	2400072	0	0	1.000000	libc-dynamic.so	memmove	[Unknown]	0x1c230
_INTERNAL_25_______src_kmp_barrier_cpp_ce635104::__kmp_hyper_barrier_release	1.839000	4.1	0.3	0.0	0.0	0.0	6.2	16.7	0.0	800024	0	0	0	0	0	1.000000	libiomp5.so	_INTERNAL_25_______src_kmp_barrier_cpp_ce635104::__kmp_hyper_barrier_release(barrier_type, kmp_info*, int, int, int, void*)	kmp_barrier.cpp	0x587c0
__kmp_x86_pause	1.797000	17.8	0.6	0.0	0.0	0.0	5.4	20.0	0.0	0	0	0	0	0	0	0.0	libiomp5.so	__kmp_x86_pause	kmp.h	0x58e68
tpss_thread_manager_enter	1.741000	14.5	5.9	0.0	1.6	0.0	11.4	17.3	0.0	1612848384	324809744	0	800024	0	0	1.000000	libtpsstool.so	tpss_thread_manager_enter	[Unknown]	0x5f9840
fort_fab_plus	1.701000	87.2	0.0	47.1	0.0	100.0	0.0	0.0	0.0	0	0	0	0	0	0	1.000000	PeleC3d.intel.ivybridge.PROF.MPI.OMP.ex	fort_fab_plus	AMReX_BaseFab_nd.f90	0x6b73a0
transy1	1.595000	48.1	6.1	0.0	1.8	0.0	17.9	17.2	0.0	963228896	99202976	0	0	0	0	1.000000	PeleC3d.intel.ivybridge.PROF.MPI.OMP.ex	transy1	trans_3d.F90	0x98f1d0
transx1	1.424000	20.4	2.7	0.0	0.4	1.1	16.0	20.2	0.0	1028030840	124803744	800024	0	0	0	1.000000	PeleC3d.intel.ivybridge.PROF.MPI.OMP.ex	transx1	trans_3d.F90	0x987d50
cmpflx	1.384000	55.2	11.0	0.0	18.1	0.0	31.3	8.8	0.0	494414832	167205016	0	0	0	0	1.000000	PeleC3d.intel.ivybridge.PROF.MPI.OMP.ex	cmpflx	riemann_3d.F90	0x9d3100
OS_BARESYSCALL_DoCallAsmIntel64Linux	1.282000	3.7	1.3	0.0	0.0	0.0	14.6	12.0	0.0	81602448	101603048	0	0	0	0	1.000000	libc-dynamic.so	OS_BARESYSCALL_DoCallAsmIntel64Linux	[Unknown]	0x70dec
__intel_memset	1.269000	61.8	0.8	0.0	1.3	0.0	4.2	17.0	0.0	79202376	73602208	0	0	0	0	1.000000	libintlc.so.5	__intel_memset	[Unknown]	0x55040
srctoprim	1.264000	81.5	10.0	0.0	18.6	0.0	15.9	5.0	0.0	215206456	30400912	0	800024	0	0	1.000000	PeleC3d.intel.ivybridge.PROF.MPI.OMP.ex	srctoprim	advection_util_nd.F90	0x95f870
actual_eos_bottom	1.244000	58.0	21.6	0.0	6.0	0.0	14.2	17.4	0.0	231206936	315209456	0	0	0	0	1.000000	PeleC3d.intel.ivybridge.PROF.MPI.OMP.ex	actual_eos_bottom	gamma_law.F90	0x918d7e
amrex::BaseFab<double>::mult(double, amrex::Box const&, int, int)::{lambda(double&)#1}::operator()	1.164000	100.0	52.1	0.0	0.0	44.0	36.8	20.1	0.0	179205376	118403552	0	0	0	0	1.000000	PeleC3d.intel.ivybridge.PROF.MPI.OMP.ex	amrex::BaseFab<double>::mult(double, amrex::Box const&, int, int)::{lambda(double&)#1}::operator()(double&) const	AMReX_BaseFab.H	0x680044
page_fault	1.152000	10.5	0.5	1.4	0.0	4.2	8.0	9.0	0.0	800024	6400192	0	0	0	0	0.0	vmlinux	page_fault	[Unknown]	0xffffffff81508000
tpss_malloc_mod1_ver0	1.127000	37.1	3.7	0.0	1.6	0.0	14.3	11.6	0.0	913627408	740822224	0	0	0	0	1.000000	libtpsstool.so	tpss_malloc_mod1_ver0	[Unknown]	0x19e460
get_sfs_stresses_ydir	1.112000	90.3	27.9	0.0	5.0	32.4	17.4	33.9	0.0	902427072	7200216	4800144	1600048	0	0	1.000000	PeleC3d.intel.ivybridge.PROF.MPI.OMP.ex	get_sfs_stresses_ydir	lesterm_3d.f90	0x72f6e8
func@0x5f3fd7	1.081000	100.0	5.7	0.0	0.0	0.0	7.2	16.0	0.0	372011160	408812264	0	0	0	0	1.000000	libtpsstool.so	func@0x5f3fd7	[Unknown]	0x5f3fd7
__kmp_yield	1.059000	6.2	3.3	0.0	1.1	0.0	3.8	27.2	0.0	52001560	0	0	0	0	0	1.000000	libiomp5.so	__kmp_yield	z_Linux_util.cpp	0xc8b20
SyS_clock_gettime	1.029000	99.3	35.3	0.0	4.2	0.0	7.8	18.5	0.0	6400192	0	0	0	0	0	1.000000	vmlinux	SyS_clock_gettime	[Unknown]	0xffffffff810b3e80
actual_eos_ytx	1.014000	26.1	8.6	0.0	8.6	0.0	11.3	23.1	0.0	1554446632	580817424	0	4800144	0	0	1.000000	PeleC3d.intel.ivybridge.PROF.MPI.OMP.ex	actual_eos_ytx	gamma_law.F90	0x918440
func@0x5a44a0	1.008000	29.7	4.1	0.0	0.0	2.3	12.9	18.2	0.0	522415672	324809744	0	0	0	0	1.000000	libtpsstool.so	func@0x5a44a0	[Unknown]	0x5a44a0
OS_SyscallDo	0.990000	14.0	5.4	0.0	0.0	1.2	10.3	29.0	0.0	370411112	478414352	0	0	0	0	1.000000	libc-dynamic.so	OS_SyscallDo	[Unknown]	0x70e90
__libc_malloc	0.955000	28.9	7.1	0.0	3.6	0.0	8.3	19.0	0.0	471214136	122403672	0	0	0	0	1.000000	libc-2.22.so	__libc_malloc	[Unknown]	0x7b3d0
tpss_tp_free_post_cbk	0.918000	59.9	9.5	0.0	0.6	0.0	11.9	21.4	0.0	272008160	136004080	0	0	0	0	1.000000	libtpsstool.so	tpss_tp_free_post_cbk	[Unknown]	0x5bc010
get_transport_coeffs	0.869000	59.0	3.8	0.6	8.3	0.0	2.6	14.0	0.0	108003240	104003120	0	0	0	0	1.000000	PeleC3d.intel.ivybridge.PROF.MPI.OMP.ex	get_transport_coeffs	transport.F90	0x919670
pc_derenstrophy	0.864000		15.1	0.7	0.0	0.0	34.9	65.1	0.0	0	0	0	0	0	0	1.000000	PeleC3d.intel.ivybridge.PROF.MPI.OMP.ex	pc_derenstrophy	Derive_nd.f90	0x6efbc0
read_tsc	0.820000	38.6	24.7	0.0	0.0	0.0	8.7	22.6	0.0	128003840	13600408	0	0	0	0	1.000000	vmlinux	read_tsc	[Unknown]	0xffffffff8100db90
adler32_z	0.781000	0.0	0.0	0.0	0.0	0.0	2.2	14.2	0.0	1074432232	112003360	0	0	0	0	1.000000	libtpsstool.so	adler32_z	[Unknown]	0x5f5040
func@0x5f3ef4	0.769000	9.1	6.2	0.0	0.0	0.0	3.9	30.9	0.0	988029640	36801104	0	0	0	0	1.000000	libtpsstool.so	func@0x5f3ef4	[Unknown]	0x5f3ef4
uflaten	0.769000	23.9	6.0	0.0	2.3	0.0	13.5	15.8	0.0	360010800	48001440	0	0	0	0	1.000000	PeleC3d.intel.ivybridge.PROF.MPI.OMP.ex	uflaten	flatten_nd.F90	0x980370
MPIDI_CH3I_Progress	0.757000	0.0	0.0	0.0	0.0	0.0	6.1	29.2	0.0	1271238136	383211496	0	0	0	0	1.000000	libmpich_intel.so.3.0.1	MPIDI_CH3I_Progress	[Unknown]	0x213820
func@0x5e9940	0.752000	66.8	34.6	0.0	0.0	0.0	7.7	19.2	0.0	216006480	76802304	0	0	0	0	1.000000	libtpsstool.so	func@0x5e9940	[Unknown]	0x5e9940
down_read_trylock	0.747000	59.0	22.2	0.0	0.0	22.2	0.0	18.5	0.0	16800504	8000240	0	0	0	0	1.000000	vmlinux	down_read_trylock	[Unknown]	0xffffffff81097350
_raw_spin_lock	0.745000	63.3	25.6	0.0	0.0	3.9	4.7	17.1	0.0	119203576	100003000	0	0	0	0	1.000000	vmlinux	_raw_spin_lock	[Unknown]	0xffffffff815057c0
reset_internal_e	0.709000	43.8	5.5	3.9	10.9	0.0	15.6	25.7	0.0	0	12800384	0	0	0	0	1.000000	PeleC3d.intel.ivybridge.PROF.MPI.OMP.ex	reset_internal_e	PeleC_util.F90	0x953e70
_int_free	0.704000	0.0	3.9	2.3	0.8	0.0	8.5	20.9	0.0	326409792	105603168	0	0	0	0	1.000000	libc-2.22.so	_int_free	[Unknown]	0x77dc0
copy_user_enhanced_fast_string	0.661000	100.0	2.6	0.0	0.4	4.9	7.9	20.2	0.0	280008400	84002520	800024	0	0	0	1.000000	vmlinux	copy_user_enhanced_fast_string	[Unknown]	0xffffffff812aeb70
compute_temp	0.647000	82.0	5.7	0.0	0.3	3.8	8.9	35.8	0.0	0	119203576	800024	0	0	0	1.000000	PeleC3d.intel.ivybridge.PROF.MPI.OMP.ex	compute_temp	PeleC_util.F90	0x955d60
func@0x5ea8e0	0.638000	6.9	0.0	0.0	2.6	0.0	11.2	15.5	0.0	435213056	196005880	0	0	0	0	1.000000	libtpsstool.so	func@0x5ea8e0	[Unknown]	0x5ea8e0
pc_estdt	0.606000	11.6	6.6	0.0	1.9	0.0	3.8	8.5	0.0	369611088	210406312	0	0	0	0	1.000000	PeleC3d.intel.ivybridge.PROF.MPI.OMP.ex	pc_estdt	timestep.F90	0x97ae70
actual_eos_wb	0.600000	12.3	3.0	0.0	0.0	5.0	4.0	26.0	0.0	1008030240	266407992	0	0	0	0	1.000000	PeleC3d.intel.ivybridge.PROF.MPI.OMP.ex	actual_eos_wb	gamma_law.F90	0x9187a0
func@0x5f30f0	0.573000	7.3	5.5	0.0	0.0	0.0	7.7	19.8	0.0	182405472	59201776	0	0	0	0	1.000000	libtpsstool.so	func@0x5f30f0	[Unknown]	0x5f30f0
applibc___errno_location	0.558000	51.1	5.9	0.0	3.9	0.0	9.8	20.6	0.0	54401632	37601128	0	0	0	0	1.000000	libtpsstool.so	applibc___errno_location	[Unknown]	0xc1000
error_entry	0.557000	4.6	2.1	1.0	0.0	0.0	1.0	12.4	0.0	4000120	22400672	0	0	0	0	1.000000	vmlinux	error_entry	[Unknown]	0xffffffff81508200
func@0x5f3e78	0.538000	4.1	3.1	0.0	0.0	0.0	7.3	14.6	0.0	388811664	146404392	0	0	0	0	1.000000	libtpsstool.so	func@0x5f3e78	[Unknown]	0x5f3e78
OS_SyscallReturnValue	0.524000		9.6	0.0	0.0	2.1	11.8	22.5	0.0	83202496	0	0	0	0	0	1.000000	libc-dynamic.so	OS_SyscallReturnValue	[Unknown]	0x71000
getrawmonotonic64	0.519000	100.0	19.6	0.0	1.2	0.0	9.8	14.7	0.0	132803984	196005880	0	0	0	0	1.000000	vmlinux	getrawmonotonic64	[Unknown]	0xffffffff810b7180
eos_re	0.514000	26.5	1.3	0.0	0.0	1.3	2.5	25.3	0.0	80002400	432012960	0	0	0	0	1.000000	PeleC3d.intel.ivybridge.PROF.MPI.OMP.ex	eos_re	eos.F90	0x916170
handle_mm_fault	0.513000	73.4	17.0	3.2	7.4	0.0	1.1	12.7	0.0	76802304	34401032	0	0	0	0	1.000000	vmlinux	handle_mm_fault	[Unknown]	0xffffffff811792e0
_int_malloc	0.501000	100.0	7.9	0.0	7.9	0.0	12.5	18.1	0.0	101603048	124003720	0	0	0	0	1.000000	libc-2.22.so	_int_malloc	[Unknown]	0x79220
poll_active_fboxes	0.495000	2.6	1.1	0.0	0.0	0.0	6.8	12.4	0.0	562416872	228006840	0	0	0	0	1.000000	libmpich_intel.so.3.0.1	poll_active_fboxes	[Unknown]	0x20f900
func@0xbf1d0	0.469000	17.7	0.0	0.0	1.2	0.0	7.0	26.9	0.0	84002520	40001200	0	0	0	0	1.000000	libtpsstool.so	func@0xbf1d0	[Unknown]	0xbf1d0
func@0x5a3c10	0.467000	23.0	2.3	1.2	2.3	0.0	8.1	24.3	0.0	180805424	432812984	0	0	0	0	1.000000	libtpsstool.so	func@0x5a3c10	[Unknown]	0x5a3c10
pthread_mutex_lock	0.462000	11.1	4.1	0.0	0.0	1.4	11.0	22.1	0.0	57601728	130403912	0	0	0	0	1.000000	libtpsstool.so	pthread_mutex_lock	[Unknown]	0xc0140
queued_spin_lock_slowpath	0.457000	63.7	12.4	0.0	0.0	9.9	1.2	7.4	0.0	39201176	0	0	0	0	0	1.000000	vmlinux	queued_spin_lock_slowpath	[Unknown]	0xffffffff81097b30
do_deallocate_all	0.454000	41.1	6.4	0.0	0.0	7.7	2.6	20.6	0.0	336810104	124803744	0	0	0	0	1.000000	libifcore.so.5	do_deallocate_all	[Unknown]	0x2a0b0
page_counter_cancel	0.443000	96.5	39.7	0.0	0.0	2.5	0.0	2.5	0.0	3200096	5600168	0	0	0	0	1.000000	vmlinux	page_counter_cancel	[Unknown]	0xffffffff811a52f0
syscall	0.442000	88.0	3.8	0.0	0.0	1.3	11.5	7.7	0.0	189605688	138404152	0	0	0	0	1.000000	libc-dynamic.so	syscall	[Unknown]	0x16010
actual_eos_re	0.433000	100.0	41.2	0.0	0.0	0.0	7.1	16.5	0.0	2400072	329609888	0	0	0	0	1.000000	PeleC3d.intel.ivybridge.PROF.MPI.OMP.ex	actual_eos_re	gamma_law.F90	0x917e20
retint_user	0.411000	9.8	4.1	1.4	0.0	0.0	1.4	6.8	0.0	28800864	16000480	0	0	0	0	1.000000	vmlinux	retint_user	[Unknown]	0xffffffff8150679f
get_page_from_freelist	0.396000	49.6	11.4	0.0	6.5	0.0	1.6	19.5	0.0	91202736	42401272	0	0	0	0	1.000000	vmlinux	get_page_from_freelist	[Unknown]	0xffffffff81150fe0
get_sfs_stresses_xdir	0.392000	66.9	28.9	0.0	19.7	0.0	13.7	34.9	0.0	498414952	0	0	0	0	0	1.000000	PeleC3d.intel.ivybridge.PROF.MPI.OMP.ex	get_sfs_stresses_xdir	lesterm_3d.f90	0x72e2e2
get_mem_cgroup_from_mm	0.382000	81.0	29.9	5.7	1.4	0.0	0.0	14.2	0.0	20800624	11200336	0	0	0	0	1.000000	vmlinux	get_mem_cgroup_from_mm	[Unknown]	0xffffffff811a6a70
fort_fab_copyfrommem	0.376000	28.1	0.0	3.1	0.0	0.0	10.8	0.0	0.0	36801104	40001200	0	0	0	0	1.000000	PeleC3d.intel.ivybridge.PROF.MPI.OMP.ex	fort_fab_copyfrommem	AMReX_BaseFab_nd.f90	0x6b5ba0
pthread_mutex_unlock	0.370000	12.7	12.2	0.0	0.0	0.0	8.7	22.7	0.0	43201296	37601128	0	0	0	0	1.000000	libtpsstool.so	pthread_mutex_unlock	[Unknown]	0xc0240
[Outside any known module]	0.369000	38.2	4.9	3.3	0.0	8.2	6.6	39.4	0.0	10400312	60801824	0	0	0	0	1.000000	[Unknown]	[Outside any known module]	[Unknown]	0x0
pthread_getspecific	0.360000	8.5	3.5	0.0	8.8	0.0	15.8	8.8	0.0	180005400	0	0	0	0	0	1.000000	libpthread-2.22.so	pthread_getspecific	[Unknown]	0xdee0
reset_edge_state_thermo	0.345000	29.0	3.3	0.0	0.0	15.0	8.3	15.0	0.0	44001320	10400312	0	0	0	0	1.000000	PeleC3d.intel.ivybridge.PROF.MPI.OMP.ex	reset_edge_state_thermo	trans_3d.F90	0x993bd0
